530	78.29	100.00	530	84.41	84.91	530	82.88	85.47
540	77.91	100.00	540	84.41	85.00	540	82.85	85.56
550	78.09	100.00	550	84.41	85.09	550	82.97	85.64
560	78.26	100.00	560	84.41	85.36	560	83.09	85.54
570	78.21	100.00	570	84.41	85.26	570	82.65	84.91
580	78.26	100.00	580	84.65	85.00	580	82.82	84.66
590	78.71	100.00	590	84.50	85.59	590	82.88	84.92
600	78.68	100.00	600	84.50	85.67	600	83.09	85.00
610	78.53	100.00	610	84.50	85.41	610	82.94	83.77
620	78.44	100.00	620	84.41	85.48	620	82.82	83.71
630	78.47	100.00	630	84.50	85.08	630	82.41	82.70
640	78.62	100.00	640	84.50	85.16	640	82.68	82.97
650	78.59	100.00	650	84.50	85.23	650	82.41	83.69
660	78.82	100.00	660	84.85	85.15	660	82.62	83.33
670	79.06	100.00	670	84.85	85.22	670	82.76	83.28
680	79.06	100.00	680	84.85	85.00	680	82.74	82.35
690	79.09	100.00	690	84.85	85.07	690	82.79	83.04
700	79.26	100.00	700	84.85	85.00	700	82.56	83.57
710	79.35	100.00	710	84.41	85.07	710	82.88	83.10
720	79.71	100.00	720	84.41	85.28	720	82.65	82.92
730	80.12	100.00	730	84.41	85.48	730	83.00	82.74
740	80.15	100.00	740	84.44	85.41	740	82.88	82.43
750	80.06	100.00	750	84.29	85.60	750	83.15	82.13
760	80.03	100.00	760	84.29	85.66	760	83.12	82.24
770	80.06	100.00	770	84.29	85.84	770	83.00	82.34
780	80.12	100.00	780	84.29	85.77	780	82.94	83.21
790	80.15	100.00	790	84.29	85.70	790	83.03	83.04
800	80.00	100.00	800	84.29	85.75	800	83.21	82.75
810	79.82	100.00	810	84.41	85.06	810	83.29	82.22
820	79.94	100.00	820	84.41	85.00	820	83.06	81.83
830	80.09	100.00	830	84.41	84.94	830	82.74	81.93
840	79.82	100.00	840	84.59	85.12	840	82.97	82.26
850	79.91	100.00	850	84.18	85.88	850	83.09	82.47
860	79.94	100.00	860	84.59	85.00	860	82.85	82.44
870	79.85	100.00	870	84.59	84.94	870	83.03	82.30
880	79.88	100.00	880	84.59	84.89	880	82.85	82.16
890	79.91	100.00	890	84.59	84.94	890	83.00	82.13
900	80.09	100.00	900	84.59	84.89	900	82.79	82.56
910	80.00	100.00	910	84.47	84.95	910	82.94	82.09
920	80.26	100.00	920	84.47	84.89	920	82.85	82.50
930	80.29	100.00	930	84.47	85.05	930	82.88	82.58
940	80.26	100.00	940	84.38	85.21	940	82.88	82.77
950	80.29	100.00	950	84.47	85.16	950	82.97	82.74
960	80.41	100.00	960	84.38	85.52	960	83.00	82.60
970	80.38	100.00	970	84.38	85.57	970	83.21	82.78
980	80.38	100.00	980	84.38	85.51	980	82.76	82.76
990	80.41	100.00	990	84.47	85.25	990	82.82	82.83
1000	80.56	100.00	1000	84.47	85.40	1000	82.97	82.60
1010	80.38	100.00	1010	84.47	85.45	1010	83.06	82.57
1020	80.35	100.00	1020	84.59	85.49	1020	83.03	82.75
1030	80.29	100.00	1030	84.29	86.21	1030	83.15	82.72
1040	80.29	100.00	1040	84.35	86.25	1040	82.88	82.98
1050	80.29	100.00	1050	84.50	86.76	1050	82.76	82.67
1060	80.29	100.00	1060	84.35	86.32	1060	82.76	82.83
1070	80.18	100.00	1070	84.35	86.17	1070	82.76	82.80
1080	80.18	100.00	1080	84.35	86.11	1080	82.76	82.78
1090	80.15	100.00	1090	84.35	86.15	1090	82.68	82.94
1100	80.12	100.00	1100	84.38	86.36	1100	82.71	83.00
1110	80.24	100.00	1110	84.38	86.40	1110	82.38	82.61
1120	80.21	100.00	1120	84.38	86.34	1120	82.26	82.68
1130	80.09	100.00	1130	84.38	86.37	1130	82.06	82.48
1140	80.24	100.00	1140	84.74	85.79	1140	82.15	82.81
1150	80.24	100.00	1150	84.74	85.83	1150	82.85	82.96
1160	80.26	100.00	1160	84.74	85.69	1160	82.88	83.02
1170	80.29	100.00	1170	84.74	85.81	1170	82.68	82.99
1180	80.09	100.00	1180	84.74	85.85	1180	82.82	82.97
1190	80.18	100.00	1190	84.15	90.08	1190	82.76	82.77
1200	80.29	100.00	1200	85.53	86.50	1200	82.91	83.17
1210	80.32	100.00	1210	85.53	86.61	1210	83.00	83.22
1220	80.41	100.00	1220	85.53	86.64	1220	82.85	83.52
1230	80.35	100.00	1230	85.53	86.42	1230	82.88	83.01
1240	80.44	100.00	1240	85.53	86.53	1240	82.85	83.15
1250	80.50	100.00	1250	84.85	85.60	1250	83.12	83.04
1260	80.38	100.00	1260	85.35	85.71	1260	83.00	82.78
1270	80.29	100.00	1270	85.00	85.12	1270	82.88	82.44
1280	80.29	100.00	1280	85.00	85.16	1280	82.94	82.66
1290	80.47	100.00	1290	85.41	85.74	1290	82.82	82.40
1300	80.38	100.00	1300	85.41	85.77	1300	82.76	82.23
1310	80.12	100.00	1310	85.50	85.27	1310	82.65	82.21
1320	80.12	100.00	1320	85.50	85.38	1320	82.71	82.20
1330	80.32	100.00	1330	85.50	85.41	1330	82.65	82.18
1340	80.38	100.00	1340	85.35	85.30	1340	82.65	82.09
1350	80.35	100.00	1350	85.35	85.19	1350	82.62	82.00
1360	80.38	100.00	1360	85.35	85.15	1360	82.59	81.91
1370	80.35	100.00	1370	84.85	84.96	1370	82.59	81.97
1380	80.24	100.00	1380	84.85	84.93	1380	82.62	81.74
1390	80.29	100.00	1390	85.00	85.04	1390	82.62	81.80
1400	80.26	100.00	1400	85.00	85.00	1400	82.62	81.79
1410	80.47	100.00	1410	85.00	85.04	1410	82.62	81.84
1420	80.56	100.00	1420	85.00	85.00	1420	82.59	81.83
1430	80.38	100.00	1430	84.85	85.17	1430	82.62	81.75
1440	80.47	100.00	1440	84.85	85.28	1440	82.65	81.81
1450	80.56	100.00	1450	84.85	85.24	1450	82.65	81.79
1460	80.71	100.00	1460	84.85	85.27	1460	82.59	81.85
1470	80.71	100.00	1470	84.56	86.26	1470	82.59	81.77
1480	80.76	100.00	1480	84.85	85.41	1480	82.65	81.82
1490	80.82	100.00	1490	84.85	85.44	1490	82.65	81.81
1500	80.85	100.00	1500	84.85	85.47	1500	82.59	81.80
1510	80.91	100.00	1510	84.85	85.56	1510	82.62	81.92
1520	80.94	100.00	1520	84.85	85.59	1520	82.71	81.91
1530	80.68	100.00	1530	84.85	85.69	1530	82.74	81.96
1540	80.68	100.00	1540	84.85	85.65	1540	82.71	82.01
1550	80.59	100.00	1550	85.26	87.03	1550	82.59	82.06
