bits	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
50	51	456739	416639	179.183601	163.451942	49	50	50	0.1	0.27	50	50	0.9804	9135	8333	0.3	Mimicker(size=400,keep=4)
50	51	722602	682502	283.484504	267.752844	49	50	50	0.1	0.43	50	50	0.9804	14452	13650	0.4	Mimicker(size=400,keep=6)
50	50	222708	222708	89.0832	89.0832	50	50	50	0	0.02	50	50	1	4454	4454	0	Mimicker(size=200,keep=1)
60	50	9308	9308	3.102667	3.102667	60	60	60	0	0	60	50	1	186	186	0	HillClimber(neighbor=SingleBitFlipper)
60	50	9452	9452	3.150667	3.150667	60	60	60	0	0	60	50	1	189	189	0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
60	50	9394	9394	3.131333	3.131333	60	60	60	0	0	60	50	1	188	188	0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
60	50	9745	9745	3.248333	3.248333	60	60	60	0	0	60	50	1	195	195	0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
60	50	9378	9378	3.126	3.126	60	60	60	0	0	60	50	1	188	188	0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
60	50	9861	9861	3.287	3.287	60	60	60	0	0	60	50	1	197	197	0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
60	50	9916	9916	3.305333	3.305333	60	60	60	0	0	60	50	1	198	198	0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
60	50	10225	10225	3.408333	3.408333	60	60	60	0	0	60	50	1	205	205	0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
60	50	11039	11039	3.679667	3.679667	60	60	60	0	0	60	50	1	221	221	0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
60	50	12505	12505	4.168333	4.168333	60	60	60	0	0	60	50	1	250	250	0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
60	50	64139	64139	21.379667	21.379667	60	60	60	0	0	60	50	1	1283	1283	0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
60	50	97600	97600	32.533333	32.533333	60	60	60	0	0	60	50	1	1952	1952	0	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
60	60	235000	225000	65.477849	62.691558	58	59.8	60	0.4	0.02	60	50	0.8333	4700	4500	0	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
60	50	104000	104000	34.666667	34.666667	60	60	60	0	0.02	60	50	1	2080	2080	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
60	54	213600	205600	66.007417	63.535229	59	59.9	60	0.3	0.02	60	50	0.9259	4272	4112	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
60	54	354800	346800	109.641533	107.169345	59	59.9	60	0.3	0.04	60	50	0.9259	7096	6936	0	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
60	50	175600	175600	58.533333	58.533333	60	60	60	0	0.02	60	50	1	3512	3512	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
