length	t	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
30	3	100	58.857143	58.857143	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	3296	3296	0.0		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	142.892857	142.892857	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	8002	8002	0.0		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	227.035714	227.035714	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	12714	12714	0.0		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	109.678571	109.678571	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	6142	6142	0.0		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	110.785714	110.785714	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	6204	6204	0.0		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	203.642857	203.642857	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	11404	11404	0.0		Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	204.785714	204.785714	56.0	56.0	56.0	0.0	0.00	56.0	100	1.0000	11468	11468	0.0		Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	100	469.357143	469.357143	56.0	56.0	56.0	0.0	0.01	56.0	100	1.0000	26284	26284	0.0		Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
30	3	105	140.732522	131.949913	30.0	54.8	56.0	5.6	0.03	56.0	100	0.9524	8092	7587	0.0		Mimicker(size=100,keep=2)
30	3	112	308.415461	288.481250	30.0	54.3	56.0	6.0	0.06	56.0	100	0.8929	18752	17540	0.1		Mimicker(size=100,keep=3)
30	3	136	403.074408	353.341130	30.0	53.8	56.0	5.0	0.09	56.0	100	0.7353	29469	25833	0.1		Mimicker(size=100,keep=4)
30	3	111	328.187116	309.741159	29.0	54.3	56.0	6.4	0.06	56.0	100	0.9009	19767	18656	0.1		Mimicker(size=100,keep=5)
30	3	112	140.834899	100.365101	30.0	53.2	56.0	8.1	0.02	56.0	100	0.8929	8394	5982	0.0		Mimicker(size=200,keep=2)
30	3	105	239.836696	222.358435	30.0	54.8	56.0	5.6	0.04	56.0	100	0.9524	13791	12786	0.0		Mimicker(size=200,keep=3)
30	3	102	462.498239	455.418281	30.0	55.7	56.0	2.7	0.08	56.0	100	0.9804	26261	25859	0.1		Mimicker(size=200,keep=4)
30	3	111	475.972250	439.450942	20.0	54.5	56.0	5.9	0.10	56.0	100	0.9009	28815	26604	0.1		Mimicker(size=200,keep=5)
30	3	113	139.726878	96.104174	30.0	53.0	56.0	8.3	0.04	56.0	100	0.8850	8370	5757	0.0		Mimicker(size=200,keep=2)
30	3	106	248.885294	228.020242	30.0	54.5	56.0	6.0	0.04	56.0	100	0.9434	14386	13180	0.0		Mimicker(size=200,keep=3)
30	3	106	491.367430	470.909415	30.0	55.6	56.0	2.6	0.10	56.0	100	0.9434	28966	27760	0.1		Mimicker(size=200,keep=4)
30	3	103	471.510894	461.000174	30.0	55.7	56.0	2.6	0.08	56.0	100	0.9709	27051	26448	0.1		Mimicker(size=200,keep=5)
30	3	113	633.174024	591.532590	45.0	55.5	56.0	1.6	0.12	56.0	100	0.8850	39732	37119	0.1		Mimicker(size=200,keep=10)
40	4	1182	9.843580	8.991276	40.0	43.0	75.0	9.7	0.00	75.0	100	0.0846	4999	4566	0.0		HillClimber(neighbor=SingleBitFlipper)
40	4	151	8.885506	8.477528	1.0	58.9	75.0	24.6	0.00	75.0	100	0.6623	791	755	0.0		Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
40	4	159	9.379804	8.805928	1.0	55.8	75.0	27.4	0.00	75.0	100	0.6289	832	781	0.0		Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
40	4	150	9.137794	8.646887	1.0	57.2	75.0	27.3	0.00	75.0	100	0.6667	784	742	0.0		Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
