Unpruned	ReducedError	PruneConfidence	MinInstancesPerLeaf	trainPctCorrect	testPctCorrect	trainTime	testTime
false	false	0.4	12	79.13	71.50	0.05
false	false	0.4	13	78.33	70.43	0.05
false	false	0.4	14	77.53	69.55	0.05
false	false	0.4	15	76.52	68.36	0.05
false	false	0.4	16	75.81	66.98	0.05
false	false	0.4	17	75.44	67.92	0.04
false	false	0.4	18	74.81	66.85	0.04
false	false	0.4	19	74.14	67.35	0.04
false	false	0.4	20	73.91	66.92	0.04
false	false	0.4	21	73.54	67.35	0.04
false	false	0.4	22	73.36	66.48	0.04
false	false	0.4	23	73.20	66.29	0.04
false	false	0.4	24	72.46	66.60	0.04
false	false	0.45	1	99.01	75.89	0.09
false	false	0.45	2	94.17	76.46	0.08
false	false	0.45	3	91.75	75.71	0.08
false	false	0.45	4	89.47	76.08	0.07
false	false	0.45	5	87.68	76.52	0.06
false	false	0.45	6	86.03	75.45	0.06
false	false	0.45	7	84.69	74.89	0.06
false	false	0.45	8	83.55	75.27	0.06
false	false	0.45	9	82.14	73.82	0.05
false	false	0.45	10	81.01	73.26	0.05
false	false	0.45	11	80.16	71.68	0.05
false	false	0.45	12	79.13	71.50	0.05
false	false	0.45	13	78.33	70.43	0.05
false	false	0.45	14	77.53	69.55	0.05
false	false	0.45	15	76.52	68.36	0.05
false	false	0.45	16	75.81	66.98	0.05
false	false	0.45	17	75.44	67.92	0.04
false	false	0.45	18	74.81	66.85	0.05
false	false	0.45	19	74.14	67.35	0.04
false	false	0.45	20	73.91	66.92	0.04
false	false	0.45	21	73.54	67.35	0.04
false	false	0.45	22	73.36	66.48	0.04
false	false	0.45	23	73.20	66.29	0.04
false	false	0.45	24	72.46	66.60	0.04
false	false	0.5	1	99.07	75.89	0.09
false	false	0.5	2	94.22	76.40	0.09
false	false	0.5	3	91.75	75.71	0.08
false	false	0.5	4	89.47	76.08	0.07
false	false	0.5	5	87.69	76.33	0.07
false	false	0.5	6	86.03	75.45	0.07
false	false	0.5	7	84.69	74.89	0.06
false	false	0.5	8	83.55	75.27	0.06
false	false	0.5	9	82.14	73.82	0.06
false	false	0.5	10	81.01	73.26	0.05
false	false	0.5	11	80.16	71.68	0.05
false	false	0.5	12	79.13	71.50	0.05
