51	84.03	86.02	51	92.44	100.00
52	83.88	85.98	52	92.44	100.00
53	83.88	86.11	53	92.44	100.00
54	83.94	86.18	54	92.44	100.00
55	84.09	86.23	55	92.44	100.00
56	84.03	85.86	56	92.44	100.00
57	83.76	85.59	57	92.44	100.00
58	83.29	85.48	58	92.44	100.00
59	83.09	85.14	59	92.44	100.00
60	82.71	84.42	60	92.25	100.00
61	82.29	83.76	61	92.25	100.00
62	83.03	84.44	62	92.25	100.00
63	82.71	84.18	63	92.25	100.00
64	83.21	85.21	64	92.25	100.00
65	81.97	83.36	65	92.25	100.00
66	82.00	83.74	66	92.25	100.00
67	81.56	83.35	67	92.25	100.00
68	81.15	83.27	68	92.25	100.00
69	81.18	83.33	69	92.25	100.00
70	81.88	84.18	70	92.25	100.00
71	82.00	84.17	71	92.25	100.00
72	81.97	84.30	72	92.25	100.00
73	82.03	84.42	73	92.25	100.00
74	82.06	84.24	74	92.25	100.00
75	81.53	84.05	75	92.25	100.00
76	80.29	82.82	76	92.25	100.00
77	80.03	82.79	77	92.25	100.00
78	79.44	81.94	78	92.25	100.00
79	82.26	84.68	79	92.25	100.00
80	79.82	81.95	80	92.25	100.00
81	82.53	85.08	81	92.25	100.00
82	80.88	83.67	82	92.25	100.00
83	80.76	83.24	83	92.25	100.00
84	84.44	86.59	84	92.25	100.00
85	84.00	86.05	85	92.25	100.00
86	80.71	83.29	86	92.25	100.00
87	80.44	82.88	87	92.25	100.00
88	82.15	84.74	88	92.25	100.00
89	81.47	83.64	89	92.25	100.00
90	82.12	84.47	90	92.25	100.00
91	82.74	84.56	91	92.25	100.00
92	82.82	85.12	92	92.25	100.00
93	83.15	85.80	93	92.25	100.00
94	83.12	85.05	94	92.25	100.00
95	83.53	85.83	95	92.25	100.00
96	82.91	85.64	96	92.25	100.00
97	83.15	85.71	97	92.25	100.00
98	82.74	85.29	98	92.25	100.00
99	84.29	86.82	99	92.25	100.00
100	83.79	86.59	100	92.25	100.00
101	82.85	85.08	101	92.25	100.00
102	84.21	87.08	102	92.25	100.00
103	81.50	83.83	103	92.25	100.00
104	84.15	87.05	104	92.25	100.00
